"country_name","country_code","anio","tasa de gasto publico"
"Aruba","ABW",2000,NA
"Aruba","ABW",2010,NA
"Aruba","ABW",2023,NA
NA,"AFE",2000,2.55135201821446
NA,"AFE",2010,2.32419460022793
NA,"AFE",2023,-1.31356146944957
"Afganistán","AFG",2000,NA
"Afganistán","AFG",2010,NA
"Afganistán","AFG",2023,0.698489250699168
NA,"AFW",2000,NA
NA,"AFW",2010,NA
NA,"AFW",2023,NA
"Angola","AGO",2000,NA
"Angola","AGO",2010,5.06017083157202
"Angola","AGO",2023,-36.7290848459828
"Albania","ALB",2000,-9.7080744206697
"Albania","ALB",2010,3.97085437999552
"Albania","ALB",2023,4.88518199480575
"Andorra","AND",2000,NA
"Andorra","AND",2010,NA
"Andorra","AND",2023,NA
"El mundo árabe","ARB",2000,NA
"El mundo árabe","ARB",2010,2.98818441451982
"El mundo árabe","ARB",2023,3.38541120444336
"Emiratos Árabes Unidos","ARE",2000,NA
"Emiratos Árabes Unidos","ARE",2010,0.872482496062489
"Emiratos Árabes Unidos","ARE",2023,3.58111162418425
"Argentina","ARG",2000,0.577056274949527
"Argentina","ARG",2010,5.45217570634782
"Argentina","ARG",2023,1.53504720958759
"Armenia","ARM",2000,4.09599734638427
"Armenia","ARM",2010,3.92931585815515
"Armenia","ARM",2023,28.2999999970907
"Samoa Americana","ASM",2000,NA
"Samoa Americana","ASM",2010,NA
"Samoa Americana","ASM",2023,NA
"Antigua y Barbuda","ATG",2000,NA
"Antigua y Barbuda","ATG",2010,NA
"Antigua y Barbuda","ATG",2023,NA
"Australia","AUS",2000,3.22245498570908
"Australia","AUS",2010,1.64767092307265
"Australia","AUS",2023,1.72258996336221
"Austria","AUT",2000,0.231786442486538
"Austria","AUT",2010,0.0140151209426591
"Austria","AUT",2023,-0.444811602112821
"Azerbaiyán","AZE",2000,10.8485144193513
"Azerbaiyán","AZE",2010,-9.80265080871749
"Azerbaiyán","AZE",2023,NA
"Burundi","BDI",2000,-46.7670047514173
"Burundi","BDI",2010,15.3445680689868
"Burundi","BDI",2023,5.39409423721695
"Bélgica","BEL",2000,2.36383020710265
"Bélgica","BEL",2010,0.371651996285593
"Bélgica","BEL",2023,1.57454936028951
"Benin","BEN",2000,5.30767442272281
"Benin","BEN",2010,1.21189680271554
"Benin","BEN",2023,0.450207095263821
"Burkina Faso","BFA",2000,16.3119298828541
"Burkina Faso","BFA",2010,4.29810725395896
"Burkina Faso","BFA",2023,5.11376673850576
"Bangladesh","BGD",2000,3.68569881657059
"Bangladesh","BGD",2010,6.82588899812171
"Bangladesh","BGD",2023,8.53545973280676
"Bulgaria","BGR",2000,2.21669500102533
"Bulgaria","BGR",2010,2.12633139557568
"Bulgaria","BGR",2023,1.10687579576407
"Bahrein","BHR",2000,NA
"Bahrein","BHR",2010,3.6726783742661
"Bahrein","BHR",2023,7.34138060726308
"Bahamas","BHS",2000,3.57554940474205
"Bahamas","BHS",2010,-0.293166954822226
"Bahamas","BHS",2023,7.18771771909215
"Bosnia y Herzegovina","BIH",2000,NA
"Bosnia y Herzegovina","BIH",2010,1.67511495121522
"Bosnia y Herzegovina","BIH",2023,2.12266134042733
"Belarús","BLR",2000,6.00001454678876
"Belarús","BLR",2010,3.1075150370683
"Belarús","BLR",2023,0.164772284702536
"Belice","BLZ",2000,8.04020100502511
"Belice","BLZ",2010,4.92359932088284
"Belice","BLZ",2023,2.91578680203047
"Bermudas","BMU",2000,NA
"Bermudas","BMU",2010,NA
"Bermudas","BMU",2023,2.22277722277721
"Bolivia","BOL",2000,2.07852605443347
"Bolivia","BOL",2010,3.0687223504541
"Bolivia","BOL",2023,2.39363000149335
"Brasil","BRA",2000,-0.151267037326249
"Brasil","BRA",2010,3.92066457285694
"Brasil","BRA",2023,3.7718683892225
"Barbados","BRB",2000,NA
"Barbados","BRB",2010,NA
"Barbados","BRB",2023,NA
"Brunei Darussalam","BRN",2000,7.69159259577383
"Brunei Darussalam","BRN",2010,3.47473681308705
"Brunei Darussalam","BRN",2023,-2.42431915629636
"Bhután","BTN",2000,0
"Bhután","BTN",2010,7.54927891509001
"Bhután","BTN",2023,1.40635236642457
"Botswana","BWA",2000,0.616597374481771
"Botswana","BWA",2010,-1.58816711165085
"Botswana","BWA",2023,4.8390432428188
"República Centroafricana","CAF",2000,NA
"República Centroafricana","CAF",2010,3.79798322176086
"República Centroafricana","CAF",2023,-4.5656627012801
