"country_name","country_code","anio","tasa_de_cambio_oficial","log_tasa"
"Aruba","ABW",2000,1.79,0.582215619852664
"Aruba","ABW",2010,1.79,0.582215619852664
"Aruba","ABW",2023,1.79,0.582215619852664
NA,"AFE",2000,NA,NA
NA,"AFE",2010,NA,NA
NA,"AFE",2023,NA,NA
"Afganistán","AFG",2000,47.3575747311828,3.85772678004118
"Afganistán","AFG",2010,46.4524610013175,3.83842944558548
"Afganistán","AFG",2023,NA,NA
NA,"AFW",2000,NA,NA
NA,"AFW",2010,NA,NA
NA,"AFW",2023,NA,NA
"Angola","AGO",2000,10.0405441666667,2.30663131266202
"Angola","AGO",2010,91.9057203405018,4.52076327269654
"Angola","AGO",2023,685.020237761449,6.5294483820031
"Albania","ALB",2000,143.709416666667,4.96779332097742
"Albania","ALB",2010,103.936666666667,4.6437817392822
"Albania","ALB",2023,100.645,4.611599473753
"Andorra","AND",2000,NA,NA
"Andorra","AND",2010,NA,NA
"Andorra","AND",2023,0.924709622987356,-0.0782755118480033
"El mundo árabe","ARB",2000,NA,NA
"El mundo árabe","ARB",2010,NA,NA
"El mundo árabe","ARB",2023,NA,NA
"Emiratos Árabes Unidos","ARE",2000,3.6725,1.3008726290659
"Emiratos Árabes Unidos","ARE",2010,3.6725,1.3008726290659
"Emiratos Árabes Unidos","ARE",2023,3.6725,1.3008726290659
"Argentina","ARG",2000,0.9995,-0.000500125041682243
"Argentina","ARG",2010,3.8962951544705,1.36002614124509
"Argentina","ARG",2023,296.258041666667,5.69123083694731
"Armenia","ARM",2000,539.525833333333,6.29069066739486
"Armenia","ARM",2010,373.660466738817,5.92334754213121
"Armenia","ARM",2023,392.476302158971,5.97247615873468
"Samoa Americana","ASM",2000,1,0
"Samoa Americana","ASM",2010,1,0
"Samoa Americana","ASM",2023,1,0
"Antigua y Barbuda","ATG",2000,2.7,0.993251773010283
"Antigua y Barbuda","ATG",2010,2.7,0.993251773010283
"Antigua y Barbuda","ATG",2023,2.7,0.993251773010283
"Australia","AUS",2000,1.72482666666667,0.545126562342774
"Australia","AUS",2010,1.09015948638677,0.0863240033236767
"Australia","AUS",2023,1.50519106560509,0.408919844033301
"Austria","AUT",2000,1.08270508132602,0.0794626145222062
"Austria","AUT",2010,0.754308990105961,-0.28195319371822
"Austria","AUT",2023,0.924839558470698,-0.0781350068159033
"Azerbaiyán","AZE",2000,0.89483075,-0.111120684735355
"Azerbaiyán","AZE",2010,0.80265,-0.219836525556714
"Azerbaiyán","AZE",2023,1.7,0.53062825106217
"Burundi","BDI",2000,720.673333333333,6.58018596018206
"Burundi","BDI",2010,1230.74833333333,7.11537766444956
"Burundi","BDI",2023,2574.05174879329,7.85323649238028
"Bélgica","BEL",2000,1.08270508132602,0.0794626145222062
"Bélgica","BEL",2010,0.754308990105961,-0.28195319371822
"Bélgica","BEL",2023,0.924839558470698,-0.0781350068159033
"Benin","BEN",2000,710.207977031373,6.56555785253739
"Benin","BEN",2010,494.794262222936,6.20414204429697
"Benin","BEN",2023,606.654982255763,6.40796023119928
"Burkina Faso","BFA",2000,710.207977031367,6.56555785253738
"Burkina Faso","BFA",2010,494.794262222947,6.20414204429699
"Burkina Faso","BFA",2023,606.569750165917,6.40781972616718
"Bangladesh","BGD",2000,52.1416666666667,3.95396437321632
"Bangladesh","BGD",2010,69.6492916666667,4.243472530277
"Bangladesh","BGD",2023,106.309484297483,4.66635450335735
"Bulgaria","BGR",2000,2.123275,0.752959708011113
"Bulgaria","BGR",2010,1.47739166666667,0.390278145556908
"Bulgaria","BGR",2023,1.80896666666667,0.592755779856806
"Bahrein","BHR",2000,0.376,-0.978166135592243
"Bahrein","BHR",2010,0.376,-0.978166135592243
"Bahrein","BHR",2023,0.376,-0.978166135592243
"Bahamas","BHS",2000,1,0
"Bahamas","BHS",2010,1,0
"Bahamas","BHS",2023,1,0
"Bosnia y Herzegovina","BIH",2000,2.12285951185833,0.752764006183092
"Bosnia y Herzegovina","BIH",2010,1.47673956845028,0.389836663324007
"Bosnia y Herzegovina","BIH",2023,1.80920280030082,0.592886306431994
"Belarús","BLR",2000,0.087675,-2.4341184829559
"Belarús","BLR",2010,0.297851,-1.21116191751841
"Belarús","BLR",2023,3.00735,1.10105929231116
"Belice","BLZ",2000,2,0.693147180559945
"Belice","BLZ",2010,2,0.693147180559945
"Belice","BLZ",2023,2,0.693147180559945
"Bermudas","BMU",2000,1,0
"Bermudas","BMU",2010,1,0
"Bermudas","BMU",2023,1,0
"Bolivia","BOL",2000,6.18354166666667,1.82189119254012
"Bolivia","BOL",2010,7.01666666666667,1.94828827146028
"Bolivia","BOL",2023,6.91,1.93296963777958
"Brasil","BRA",2000,1.82942312207561,0.604000683318234
"Brasil","BRA",2010,1.75922671058718,0.564874343514669
"Brasil","BRA",2023,4.99437976287199,1.60831323279339
"Barbados","BRB",2000,2,0.693147180559945
"Barbados","BRB",2010,2,0.693147180559945
"Barbados","BRB",2023,2,0.693147180559945
"Brunei Darussalam","BRN",2000,1.72396333333333,0.544625903647188
"Brunei Darussalam","BRN",2010,1.36350947368421,0.310061871342595
"Brunei Darussalam","BRN",2023,1.34307960114934,0.294965186930831
"Bhután","BTN",2000,44.941605,3.80536398040516
"Bhután","BTN",2010,45.7258121212121,3.82266295510799
"Bhután","BTN",2023,82.5992764460784,4.41400092075586
"Botswana","BWA",2000,5.10224166666667,1.62967998564344
"Botswana","BWA",2010,6.793625,1.91598467245408
"Botswana","BWA",2023,13.5963833333333,2.60980382600344
"República Centroafricana","CAF",2000,710.207977031367,6.56555785253738
"República Centroafricana","CAF",2010,494.794262222947,6.20414204429699
"República Centroafricana","CAF",2023,606.569750165917,6.40781972616718
"Canadá","CAN",2000,1.485394095,0.395680120884985
"Canadá","CAN",2010,1.03011273517598,0.0296682478793171
"Canadá","CAN",2023,1.3499086407939,0.300036916674384
"Europa Central y del Báltico","CEB",2000,NA,NA
"Europa Central y del Báltico","CEB",2010,NA,NA
