"country_name","country_code","anio","tasa_de_cambio_oficial"
"Aruba","ABW",2000,1.79
"Aruba","ABW",2010,1.79
"Aruba","ABW",2023,1.79
NA,"AFE",2000,NA
NA,"AFE",2010,NA
NA,"AFE",2023,NA
"Afganistán","AFG",2000,47.3575747311828
"Afganistán","AFG",2010,46.4524610013175
"Afganistán","AFG",2023,NA
NA,"AFW",2000,NA
NA,"AFW",2010,NA
NA,"AFW",2023,NA
"Angola","AGO",2000,10.0405441666667
"Angola","AGO",2010,91.9057203405018
"Angola","AGO",2023,685.020237761449
"Albania","ALB",2000,143.709416666667
"Albania","ALB",2010,103.936666666667
"Albania","ALB",2023,100.645
"Andorra","AND",2000,NA
"Andorra","AND",2010,NA
"Andorra","AND",2023,0.924709622987356
"El mundo árabe","ARB",2000,NA
"El mundo árabe","ARB",2010,NA
"El mundo árabe","ARB",2023,NA
"Emiratos Árabes Unidos","ARE",2000,3.6725
"Emiratos Árabes Unidos","ARE",2010,3.6725
"Emiratos Árabes Unidos","ARE",2023,3.6725
"Argentina","ARG",2000,0.9995
"Argentina","ARG",2010,3.8962951544705
"Argentina","ARG",2023,296.258041666667
"Armenia","ARM",2000,539.525833333333
"Armenia","ARM",2010,373.660466738817
"Armenia","ARM",2023,392.476302158971
"Samoa Americana","ASM",2000,1
"Samoa Americana","ASM",2010,1
"Samoa Americana","ASM",2023,1
"Antigua y Barbuda","ATG",2000,2.7
"Antigua y Barbuda","ATG",2010,2.7
"Antigua y Barbuda","ATG",2023,2.7
"Australia","AUS",2000,1.72482666666667
"Australia","AUS",2010,1.09015948638677
"Australia","AUS",2023,1.50519106560509
"Austria","AUT",2000,1.08270508132602
"Austria","AUT",2010,0.754308990105961
"Austria","AUT",2023,0.924839558470698
"Azerbaiyán","AZE",2000,0.89483075
"Azerbaiyán","AZE",2010,0.80265
"Azerbaiyán","AZE",2023,1.7
"Burundi","BDI",2000,720.673333333333
"Burundi","BDI",2010,1230.74833333333
"Burundi","BDI",2023,2574.05174879329
"Bélgica","BEL",2000,1.08270508132602
"Bélgica","BEL",2010,0.754308990105961
"Bélgica","BEL",2023,0.924839558470698
"Benin","BEN",2000,710.207977031373
"Benin","BEN",2010,494.794262222936
"Benin","BEN",2023,606.654982255763
"Burkina Faso","BFA",2000,710.207977031367
"Burkina Faso","BFA",2010,494.794262222947
"Burkina Faso","BFA",2023,606.569750165917
"Bangladesh","BGD",2000,52.1416666666667
"Bangladesh","BGD",2010,69.6492916666667
"Bangladesh","BGD",2023,106.309484297483
"Bulgaria","BGR",2000,2.123275
"Bulgaria","BGR",2010,1.47739166666667
"Bulgaria","BGR",2023,1.80896666666667
"Bahrein","BHR",2000,0.376
"Bahrein","BHR",2010,0.376
"Bahrein","BHR",2023,0.376
"Bahamas","BHS",2000,1
"Bahamas","BHS",2010,1
"Bahamas","BHS",2023,1
"Bosnia y Herzegovina","BIH",2000,2.12285951185833
